id,msg
f428glyXdY4,ok
J_8vByvEQJM,ok
exe_I-tnxpU,ok
6yItCQB4V9A,ok
UPccIAVvQA4,ok
n_aq5TVb0HA,ok
_fnhy5xO9vQ,ok
APwwGy4GzK8,ok
pdNm4ug9PpE,ok
cYRG5rkmr-s,ok
kDdUdvNQndo,ok
WtAoc3_1Ido,ok
iIDXc6xZ0X8,ok
VweTeaGwiXQ,ok
32Qlof81vcM,ok
dRLCZqEfJFA,ok
6UnRHtwHGSE,ok
wv43IN_cnyw,ok
rPdln-PUZuE,ok
1Exi0SIY7_Q,ok
5fTd1aYzNHI,ok
2QzYcyurEjw,ok
pTk9HnIwEYU,ok
qoHnwOHLiMk,ok
WMj7G-U3LW8,ok
OU8RICcLCko,ok
YYSP1D6GJ30,ok
J_3v7DEkjsk,ok
i9MMCCd-MSI,ok
6,video has no captions
oM8c31ru92A,ok
nORg_aXMsmA,ok
c_BGPTK3GQk,ok
YxEcd_wTf5c,ok
uc-_KXfHcXQ,ok
cee6883w2Nk,ok
hyUnGjykNwg,ok
RnApthldLPY,ok
SfNgpLkV6KE,ok
W-osWU1WJuM,ok
Z1kR6SIr1XA,ok
N44XgSRE-gY,ok
SZcUJuXjCsw,video has no captions
i7648rZpdck,ok
LgzudBvmd08,ok
pSotJsUcSmA,ok
J719grjgS-I,ok
yYUUobrsFDs,video has no captions
zWuWrdaYMlY,ok
FWQKc6idm64,ok
iTZIm0-PuUw,ok
Jr9Is6NsFck,ok
HVTiPWb2OZc,ok
6GHwG1y-NE0,ok
nAtCqHJofJk,ok
c0A1bkF4mKM,ok
YMF27Q9nLNY,ok
24,video has no captions
F2ENkOF3fMQ,ok
1qRir364aNk,ok
chil75Ip-3w,ok
g1j-5UkZyL0,ok
1inpwA-_PzQ,ok
4BTm1Ezl6XE,ok
EuU_uUb_3nQ,ok
7vTxUYBD0Nk,ok
GWAY5i3CMpo,ok
ge4vghXQTtQ,ok
rVO9F7yRrHo,ok
6JFVKnrE_d8,video has no captions
bSYdABrPrtM,ok
1lPU4CwSnTc,video has no captions
peLPVIGFaz0,ok
Uj8BC2kcp7A,ok
2a8Uz3pYTh4,ok
LfzKfD_WuDM,ok
M-7t9FBecoU,ok
lZsun7ppDeQ,ok
AwOoMG3J4h8,ok
TutmnWa6dVo,ok
FPx7X7k0HuM,ok
PvgCEifW7Jo,ok
b2BVYLyua88,ok
Ao7RQj8sxuo,ok
m6fnJ6rQPok,ok
szFLA4_pwew,ok
ru4U_T83uOU,ok
hsPXh3yna1U,ok
LMJrLc13SuI,ok
BxEDztBWdbc,ok
ds0jskRIeRI,ok
mGZcg6A6FTg,ok
sX2fsvYkKF4,ok
xGHTj4y_bd8,ok
FUeyrEN14Rk,ok
hFeDKLt4P-Y,ok
SjCkW-oAFQ8,ok
98R3fgPKmYs,ok
SntU6-vxzWc,ok
jKslWoZXvn0,ok
cs8OYby6RrA,ok
-aFrFsn998o,video has no captions
g09731mD-s8,ok
q7JDYiLz9Mo,ok
fM57RNUpd10,ok
Ya2_Khcdwsk,ok
_X-Mm8h1AHM,ok
UOztOU4T-_c,ok
XXnlVlkkkxM,ok
RhUMA3bCvAY,ok
RN8uoBwRr1k,ok
R0x7ECje-lY,ok
NWGVFi-213w,ok
LsNg-KrFxCA,ok
R4kwxiDlKzs,ok
ZLnWdPPJvYg,ok
SkKjQhCTP54,ok
9eyS51ufJGU,ok
ndqjxhi7uZs,ok
DUTyGfwdBaY,ok
Gso2WrBcV2Q,ok
D0fsCXflDCE,ok
